gen,best fitness,best individual,best confidence,best success,true label,predicted label,average fitness,std fitness,prediction
0,1.7562153339385986,"[array([  2,  10, 250,  55, 154]), array([ 17,   9,  63, 170, 104]), array([ 30,  25, 147, 227,  46])]",790.5281,True,3,6,0.8409359991550446,0.2528580430393301,"[<tf.Tensor: shape=(), dtype=float32, numpy=-716.4622192382812>, <tf.Tensor: shape=(), dtype=float32, numpy=-398.89056396484375>, <tf.Tensor: shape=(), dtype=float32, numpy=228.439453125>, <tf.Tensor: shape=(), dtype=float32, numpy=779.5347290039062>, <tf.Tensor: shape=(), dtype=float32, numpy=-47.72699737548828>, <tf.Tensor: shape=(), dtype=float32, numpy=401.58514404296875>, <tf.Tensor: shape=(), dtype=float32, numpy=790.528076171875>, <tf.Tensor: shape=(), dtype=float32, numpy=-259.8044738769531>, <tf.Tensor: shape=(), dtype=float32, numpy=-718.4462890625>, <tf.Tensor: shape=(), dtype=float32, numpy=-266.73541259765625>]"
1,1.7673739194869995,"[array([ 20,  24, 168, 124, 167]), array([ 22,  27,  32,  97, 117]), array([  7,  25,  72, 225,  46])]",623.22723,True,3,6,0.8381832167506218,0.21504178866677107,"[<tf.Tensor: shape=(), dtype=float32, numpy=-585.7362670898438>, <tf.Tensor: shape=(), dtype=float32, numpy=-343.005126953125>, <tf.Tensor: shape=(), dtype=float32, numpy=229.45709228515625>, <tf.Tensor: shape=(), dtype=float32, numpy=620.8590698242188>, <tf.Tensor: shape=(), dtype=float32, numpy=-61.318145751953125>, <tf.Tensor: shape=(), dtype=float32, numpy=328.36578369140625>, <tf.Tensor: shape=(), dtype=float32, numpy=623.2272338867188>, <tf.Tensor: shape=(), dtype=float32, numpy=-150.83706665039062>, <tf.Tensor: shape=(), dtype=float32, numpy=-669.9185180664062>, <tf.Tensor: shape=(), dtype=float32, numpy=-169.38156127929688>]"
2,1.7673739194869995,"[array([ 20,  24, 168, 124, 167]), array([ 22,  27,  32,  97, 117]), array([  7,  25,  72, 225,  46])]",623.22723,True,3,6,0.8806979581713676,0.2546675081147985,"[<tf.Tensor: shape=(), dtype=float32, numpy=-585.7362670898438>, <tf.Tensor: shape=(), dtype=float32, numpy=-343.005126953125>, <tf.Tensor: shape=(), dtype=float32, numpy=229.45709228515625>, <tf.Tensor: shape=(), dtype=float32, numpy=620.8590698242188>, <tf.Tensor: shape=(), dtype=float32, numpy=-61.318145751953125>, <tf.Tensor: shape=(), dtype=float32, numpy=328.36578369140625>, <tf.Tensor: shape=(), dtype=float32, numpy=623.2272338867188>, <tf.Tensor: shape=(), dtype=float32, numpy=-150.83706665039062>, <tf.Tensor: shape=(), dtype=float32, numpy=-669.9185180664062>, <tf.Tensor: shape=(), dtype=float32, numpy=-169.38156127929688>]"
3,1.8054143190383911,"[array([  4,  20, 248,  58, 161]), array([ 17,   9,  64, 172, 102]), array([ 29,  27,  95,  63, 246])]",787.58777,True,3,6,0.9434541583061218,0.3098900175467265,"[<tf.Tensor: shape=(), dtype=float32, numpy=-709.4126586914062>, <tf.Tensor: shape=(), dtype=float32, numpy=-398.3074951171875>, <tf.Tensor: shape=(), dtype=float32, numpy=232.0260772705078>, <tf.Tensor: shape=(), dtype=float32, numpy=780.4116821289062>, <tf.Tensor: shape=(), dtype=float32, numpy=-56.17449188232422>, <tf.Tensor: shape=(), dtype=float32, numpy=391.4793701171875>, <tf.Tensor: shape=(), dtype=float32, numpy=787.5877685546875>, <tf.Tensor: shape=(), dtype=float32, numpy=-263.7930908203125>, <tf.Tensor: shape=(), dtype=float32, numpy=-712.6699829101562>, <tf.Tensor: shape=(), dtype=float32, numpy=-259.3206481933594>]"
4,1.8054143190383911,"[array([  4,  20, 248,  58, 161]), array([ 17,   9,  64, 172, 102]), array([ 29,  27,  95,  63, 246])]",787.58777,True,3,6,0.90346959233284,0.2856755611668722,"[<tf.Tensor: shape=(), dtype=float32, numpy=-709.4126586914062>, <tf.Tensor: shape=(), dtype=float32, numpy=-398.3074951171875>, <tf.Tensor: shape=(), dtype=float32, numpy=232.0260772705078>, <tf.Tensor: shape=(), dtype=float32, numpy=780.4116821289062>, <tf.Tensor: shape=(), dtype=float32, numpy=-56.17449188232422>, <tf.Tensor: shape=(), dtype=float32, numpy=391.4793701171875>, <tf.Tensor: shape=(), dtype=float32, numpy=787.5877685546875>, <tf.Tensor: shape=(), dtype=float32, numpy=-263.7930908203125>, <tf.Tensor: shape=(), dtype=float32, numpy=-712.6699829101562>, <tf.Tensor: shape=(), dtype=float32, numpy=-259.3206481933594>]"
