gen,best fitness,best individual,best confidence,best success,true label,predicted label,average fitness,std fitness,prediction
0,0.816576361656189,"[array([ 23,  20, 111, 230, 138]), array([ 7, 25, 61, 17, 97]), array([ 10,  25,  93, 142, 174])]",1385.178,False,0,0,0.7200259700417518,0.037913516108249674,"[<tf.Tensor: shape=(), dtype=float32, numpy=1385.177978515625>, <tf.Tensor: shape=(), dtype=float32, numpy=-493.418212890625>, <tf.Tensor: shape=(), dtype=float32, numpy=449.49066162109375>, <tf.Tensor: shape=(), dtype=float32, numpy=449.4245300292969>, <tf.Tensor: shape=(), dtype=float32, numpy=-368.5938720703125>, <tf.Tensor: shape=(), dtype=float32, numpy=-7.421285152435303>, <tf.Tensor: shape=(), dtype=float32, numpy=-399.6270446777344>, <tf.Tensor: shape=(), dtype=float32, numpy=-86.1678695678711>, <tf.Tensor: shape=(), dtype=float32, numpy=-505.2710876464844>, <tf.Tensor: shape=(), dtype=float32, numpy=-304.9882507324219>]"
1,0.839841365814209,"[array([  8,  10, 223, 194, 248]), array([  1,   6, 251, 200,  64]), array([ 17,  10,  61, 140,  39])]",1389.9554,False,0,0,0.7342283427715302,0.041746570576627784,"[<tf.Tensor: shape=(), dtype=float32, numpy=1389.9554443359375>, <tf.Tensor: shape=(), dtype=float32, numpy=-572.9097290039062>, <tf.Tensor: shape=(), dtype=float32, numpy=481.1216125488281>, <tf.Tensor: shape=(), dtype=float32, numpy=491.3145446777344>, <tf.Tensor: shape=(), dtype=float32, numpy=-380.99237060546875>, <tf.Tensor: shape=(), dtype=float32, numpy=23.0831241607666>, <tf.Tensor: shape=(), dtype=float32, numpy=-350.6990966796875>, <tf.Tensor: shape=(), dtype=float32, numpy=-110.16123962402344>, <tf.Tensor: shape=(), dtype=float32, numpy=-534.9492797851562>, <tf.Tensor: shape=(), dtype=float32, numpy=-317.52972412109375>]"
2,0.839841365814209,"[array([  8,  10, 223, 194, 248]), array([  1,   6, 251, 200,  64]), array([ 17,  10,  61, 140,  39])]",1389.9554,False,0,0,0.7541839808225632,0.0449321361597078,"[<tf.Tensor: shape=(), dtype=float32, numpy=1389.9554443359375>, <tf.Tensor: shape=(), dtype=float32, numpy=-572.9097290039062>, <tf.Tensor: shape=(), dtype=float32, numpy=481.1216125488281>, <tf.Tensor: shape=(), dtype=float32, numpy=491.3145446777344>, <tf.Tensor: shape=(), dtype=float32, numpy=-380.99237060546875>, <tf.Tensor: shape=(), dtype=float32, numpy=23.0831241607666>, <tf.Tensor: shape=(), dtype=float32, numpy=-350.6990966796875>, <tf.Tensor: shape=(), dtype=float32, numpy=-110.16123962402344>, <tf.Tensor: shape=(), dtype=float32, numpy=-534.9492797851562>, <tf.Tensor: shape=(), dtype=float32, numpy=-317.52972412109375>]"
3,0.8422935009002686,"[array([ 14,  27, 197,  52, 138]), array([  9,  20,  81, 167,  44]), array([ 13,  27, 195, 199, 192])]",1408.7872,False,0,0,0.77350884526968,0.040246740500794534,"[<tf.Tensor: shape=(), dtype=float32, numpy=1408.7872314453125>, <tf.Tensor: shape=(), dtype=float32, numpy=-499.386474609375>, <tf.Tensor: shape=(), dtype=float32, numpy=483.8045959472656>, <tf.Tensor: shape=(), dtype=float32, numpy=447.1807861328125>, <tf.Tensor: shape=(), dtype=float32, numpy=-370.6708068847656>, <tf.Tensor: shape=(), dtype=float32, numpy=-17.534963607788086>, <tf.Tensor: shape=(), dtype=float32, numpy=-355.5679931640625>, <tf.Tensor: shape=(), dtype=float32, numpy=-131.2742156982422>, <tf.Tensor: shape=(), dtype=float32, numpy=-507.6104431152344>, <tf.Tensor: shape=(), dtype=float32, numpy=-334.3505554199219>]"
4,0.8577032089233398,"[array([  4,   1, 223, 194, 248]), array([  1,   6, 255, 200,  46]), array([ 15,  29, 200, 195, 192])]",1387.1083,False,0,0,0.7686354085803032,0.040440818990994165,"[<tf.Tensor: shape=(), dtype=float32, numpy=1387.1082763671875>, <tf.Tensor: shape=(), dtype=float32, numpy=-514.0152587890625>, <tf.Tensor: shape=(), dtype=float32, numpy=477.9953308105469>, <tf.Tensor: shape=(), dtype=float32, numpy=465.7977294921875>, <tf.Tensor: shape=(), dtype=float32, numpy=-365.9488830566406>, <tf.Tensor: shape=(), dtype=float32, numpy=7.822359561920166>, <tf.Tensor: shape=(), dtype=float32, numpy=-379.3146057128906>, <tf.Tensor: shape=(), dtype=float32, numpy=-113.08432006835938>, <tf.Tensor: shape=(), dtype=float32, numpy=-498.1484375>, <tf.Tensor: shape=(), dtype=float32, numpy=-344.83538818359375>]"
