gen,best fitness,best individual,best confidence,best success,true label,predicted label,average fitness,std fitness,prediction
0,0.8692753314971924,"[array([  5,  17, 106, 157, 101]), array([  7,  11,  41, 143,  45]), array([ 24,  14,  46, 173, 116])]",1058.4398,False,2,2,0.7544063270092011,0.04160839298675102,"[<tf.Tensor: shape=(), dtype=float32, numpy=359.8770446777344>, <tf.Tensor: shape=(), dtype=float32, numpy=106.06039428710938>, <tf.Tensor: shape=(), dtype=float32, numpy=1058.4398193359375>, <tf.Tensor: shape=(), dtype=float32, numpy=-81.3134765625>, <tf.Tensor: shape=(), dtype=float32, numpy=-478.3114929199219>, <tf.Tensor: shape=(), dtype=float32, numpy=-391.020263671875>, <tf.Tensor: shape=(), dtype=float32, numpy=117.0865249633789>, <tf.Tensor: shape=(), dtype=float32, numpy=-152.5753631591797>, <tf.Tensor: shape=(), dtype=float32, numpy=-465.3503112792969>, <tf.Tensor: shape=(), dtype=float32, numpy=-171.63409423828125>]"
1,0.8692753314971924,"[array([  5,  17, 106, 157, 101]), array([  7,  11,  41, 143,  45]), array([ 24,  14,  46, 173, 116])]",1058.4398,False,2,2,0.7694538861513138,0.0433201148758871,"[<tf.Tensor: shape=(), dtype=float32, numpy=359.8770446777344>, <tf.Tensor: shape=(), dtype=float32, numpy=106.06039428710938>, <tf.Tensor: shape=(), dtype=float32, numpy=1058.4398193359375>, <tf.Tensor: shape=(), dtype=float32, numpy=-81.3134765625>, <tf.Tensor: shape=(), dtype=float32, numpy=-478.3114929199219>, <tf.Tensor: shape=(), dtype=float32, numpy=-391.020263671875>, <tf.Tensor: shape=(), dtype=float32, numpy=117.0865249633789>, <tf.Tensor: shape=(), dtype=float32, numpy=-152.5753631591797>, <tf.Tensor: shape=(), dtype=float32, numpy=-465.3503112792969>, <tf.Tensor: shape=(), dtype=float32, numpy=-171.63409423828125>]"
2,0.908767580986023,"[array([ 21,  25,  27, 151,   6]), array([ 14,  17,   8,  48, 211]), array([  3,  28,  46, 173, 117])]",1068.1631,False,2,2,0.7943351417779922,0.05059144409934122,"[<tf.Tensor: shape=(), dtype=float32, numpy=326.0654602050781>, <tf.Tensor: shape=(), dtype=float32, numpy=102.62751007080078>, <tf.Tensor: shape=(), dtype=float32, numpy=1068.1630859375>, <tf.Tensor: shape=(), dtype=float32, numpy=-57.495548248291016>, <tf.Tensor: shape=(), dtype=float32, numpy=-465.8351135253906>, <tf.Tensor: shape=(), dtype=float32, numpy=-376.2388916015625>, <tf.Tensor: shape=(), dtype=float32, numpy=127.93669128417969>, <tf.Tensor: shape=(), dtype=float32, numpy=-173.09950256347656>, <tf.Tensor: shape=(), dtype=float32, numpy=-440.5341491699219>, <tf.Tensor: shape=(), dtype=float32, numpy=-203.76596069335938>]"
3,0.9149160385131836,"[array([  3,  17, 104, 159, 102]), array([  2,  11,  41, 143,  45]), array([  3,   9,  46, 173, 116])]",1065.6754,False,2,2,0.8313091665506362,0.04321039245500055,"[<tf.Tensor: shape=(), dtype=float32, numpy=326.0560607910156>, <tf.Tensor: shape=(), dtype=float32, numpy=99.32536315917969>, <tf.Tensor: shape=(), dtype=float32, numpy=1065.6754150390625>, <tf.Tensor: shape=(), dtype=float32, numpy=-58.337738037109375>, <tf.Tensor: shape=(), dtype=float32, numpy=-466.0231018066406>, <tf.Tensor: shape=(), dtype=float32, numpy=-374.12579345703125>, <tf.Tensor: shape=(), dtype=float32, numpy=124.17577362060547>, <tf.Tensor: shape=(), dtype=float32, numpy=-168.2082061767578>, <tf.Tensor: shape=(), dtype=float32, numpy=-444.7131652832031>, <tf.Tensor: shape=(), dtype=float32, numpy=-197.291259765625>]"
4,0.9156461358070374,"[array([  5,  17, 104, 159, 102]), array([  2,  11,  41, 143,  45]), array([  3,   9,  54, 162, 119])]",1063.8416,False,2,2,0.844830621778965,0.036220145950093846,"[<tf.Tensor: shape=(), dtype=float32, numpy=326.80218505859375>, <tf.Tensor: shape=(), dtype=float32, numpy=98.74104309082031>, <tf.Tensor: shape=(), dtype=float32, numpy=1063.841552734375>, <tf.Tensor: shape=(), dtype=float32, numpy=-58.80162811279297>, <tf.Tensor: shape=(), dtype=float32, numpy=-460.27642822265625>, <tf.Tensor: shape=(), dtype=float32, numpy=-378.05902099609375>, <tf.Tensor: shape=(), dtype=float32, numpy=125.25553131103516>, <tf.Tensor: shape=(), dtype=float32, numpy=-172.24851989746094>, <tf.Tensor: shape=(), dtype=float32, numpy=-438.3356018066406>, <tf.Tensor: shape=(), dtype=float32, numpy=-199.34629821777344>]"
