gen,best fitness,best individual,best confidence,best success,true label,predicted label,average fitness,std fitness,prediction
0,0.8634997606277466,"[array([ 18,   3, 192,  91,  12]), array([10, 26, 62, 13, 58]), array([ 21,  15, 145, 153,  45])]",731.05005,False,3,3,0.7831397116184234,0.047092932775534516,"[<tf.Tensor: shape=(), dtype=float32, numpy=-690.1724853515625>, <tf.Tensor: shape=(), dtype=float32, numpy=-319.8406982421875>, <tf.Tensor: shape=(), dtype=float32, numpy=208.19564819335938>, <tf.Tensor: shape=(), dtype=float32, numpy=731.050048828125>, <tf.Tensor: shape=(), dtype=float32, numpy=-91.06806182861328>, <tf.Tensor: shape=(), dtype=float32, numpy=399.2714538574219>, <tf.Tensor: shape=(), dtype=float32, numpy=657.5307006835938>, <tf.Tensor: shape=(), dtype=float32, numpy=-243.52670288085938>, <tf.Tensor: shape=(), dtype=float32, numpy=-625.5288696289062>, <tf.Tensor: shape=(), dtype=float32, numpy=-223.91966247558594>]"
1,0.883025050163269,"[array([ 18,   2, 193,  91,  12]), array([10, 26, 62, 17, 67]), array([ 24,  14, 147, 174, 119])]",739.73114,False,3,3,0.7855809196829796,0.04066757619454378,"[<tf.Tensor: shape=(), dtype=float32, numpy=-662.6045532226562>, <tf.Tensor: shape=(), dtype=float32, numpy=-365.1282958984375>, <tf.Tensor: shape=(), dtype=float32, numpy=225.18833923339844>, <tf.Tensor: shape=(), dtype=float32, numpy=739.7311401367188>, <tf.Tensor: shape=(), dtype=float32, numpy=-41.05867004394531>, <tf.Tensor: shape=(), dtype=float32, numpy=426.21514892578125>, <tf.Tensor: shape=(), dtype=float32, numpy=599.365478515625>, <tf.Tensor: shape=(), dtype=float32, numpy=-182.09275817871094>, <tf.Tensor: shape=(), dtype=float32, numpy=-688.0764770507812>, <tf.Tensor: shape=(), dtype=float32, numpy=-238.2345733642578>]"
2,1.8080534934997559,"[array([ 11,  20, 197, 132, 190]), array([ 20,  12,  13,  67, 158]), array([ 11,   8, 137, 121, 173])]",742.50397,True,3,6,0.8500422805547714,0.21476636272030541,"[<tf.Tensor: shape=(), dtype=float32, numpy=-727.6887817382812>, <tf.Tensor: shape=(), dtype=float32, numpy=-261.4180908203125>, <tf.Tensor: shape=(), dtype=float32, numpy=123.45240020751953>, <tf.Tensor: shape=(), dtype=float32, numpy=726.1497192382812>, <tf.Tensor: shape=(), dtype=float32, numpy=-143.30494689941406>, <tf.Tensor: shape=(), dtype=float32, numpy=406.78179931640625>, <tf.Tensor: shape=(), dtype=float32, numpy=742.5039672851562>, <tf.Tensor: shape=(), dtype=float32, numpy=-293.3483581542969>, <tf.Tensor: shape=(), dtype=float32, numpy=-607.4714965820312>, <tf.Tensor: shape=(), dtype=float32, numpy=-187.19638061523438>]"
3,1.8080534934997559,"[array([ 11,  20, 197, 132, 190]), array([ 20,  12,  13,  67, 158]), array([ 11,   8, 137, 121, 173])]",742.50397,True,3,6,0.9658379912376404,0.3423066983246629,"[<tf.Tensor: shape=(), dtype=float32, numpy=-727.6887817382812>, <tf.Tensor: shape=(), dtype=float32, numpy=-261.4180908203125>, <tf.Tensor: shape=(), dtype=float32, numpy=123.45240020751953>, <tf.Tensor: shape=(), dtype=float32, numpy=726.1497192382812>, <tf.Tensor: shape=(), dtype=float32, numpy=-143.30494689941406>, <tf.Tensor: shape=(), dtype=float32, numpy=406.78179931640625>, <tf.Tensor: shape=(), dtype=float32, numpy=742.5039672851562>, <tf.Tensor: shape=(), dtype=float32, numpy=-293.3483581542969>, <tf.Tensor: shape=(), dtype=float32, numpy=-607.4714965820312>, <tf.Tensor: shape=(), dtype=float32, numpy=-187.19638061523438>]"
4,1.818620204925537,"[array([ 16,   7, 168,  91,   9]), array([13, 25, 56, 13, 59]), array([ 19,  15, 140,  62, 173])]",798.69666,True,3,6,0.987257294356823,0.3661247549032725,"[<tf.Tensor: shape=(), dtype=float32, numpy=-703.4309692382812>, <tf.Tensor: shape=(), dtype=float32, numpy=-387.6424560546875>, <tf.Tensor: shape=(), dtype=float32, numpy=227.1768798828125>, <tf.Tensor: shape=(), dtype=float32, numpy=760.908203125>, <tf.Tensor: shape=(), dtype=float32, numpy=-55.37333679199219>, <tf.Tensor: shape=(), dtype=float32, numpy=383.2576904296875>, <tf.Tensor: shape=(), dtype=float32, numpy=798.6966552734375>, <tf.Tensor: shape=(), dtype=float32, numpy=-282.2391357421875>, <tf.Tensor: shape=(), dtype=float32, numpy=-690.8599243164062>, <tf.Tensor: shape=(), dtype=float32, numpy=-253.21592712402344>]"
