gen,best fitness,best individual,best confidence,best success,true label,predicted label,average fitness,std fitness,prediction
0,0.8564489483833313,"[array([  8,  29, 255, 181, 232]), array([ 28,  28, 236, 179, 233]), array([ 15,  21, 113, 166,  85])]",939.55475,False,1,1,0.7328429415822029,0.053853840866277425,"[<tf.Tensor: shape=(), dtype=float32, numpy=-90.67772674560547>, <tf.Tensor: shape=(), dtype=float32, numpy=939.5547485351562>, <tf.Tensor: shape=(), dtype=float32, numpy=-454.357421875>, <tf.Tensor: shape=(), dtype=float32, numpy=-79.60277557373047>, <tf.Tensor: shape=(), dtype=float32, numpy=-614.0880737304688>, <tf.Tensor: shape=(), dtype=float32, numpy=-275.00152587890625>, <tf.Tensor: shape=(), dtype=float32, numpy=-31.34709358215332>, <tf.Tensor: shape=(), dtype=float32, numpy=-422.9496154785156>, <tf.Tensor: shape=(), dtype=float32, numpy=-5.531084060668945>, <tf.Tensor: shape=(), dtype=float32, numpy=787.4215087890625>]"
1,0.8564489483833313,"[array([  8,  29, 255, 181, 232]), array([ 28,  28, 236, 179, 233]), array([ 15,  21, 113, 166,  85])]",939.55475,False,1,1,0.7450092285871506,0.04214010203255839,"[<tf.Tensor: shape=(), dtype=float32, numpy=-90.67772674560547>, <tf.Tensor: shape=(), dtype=float32, numpy=939.5547485351562>, <tf.Tensor: shape=(), dtype=float32, numpy=-454.357421875>, <tf.Tensor: shape=(), dtype=float32, numpy=-79.60277557373047>, <tf.Tensor: shape=(), dtype=float32, numpy=-614.0880737304688>, <tf.Tensor: shape=(), dtype=float32, numpy=-275.00152587890625>, <tf.Tensor: shape=(), dtype=float32, numpy=-31.34709358215332>, <tf.Tensor: shape=(), dtype=float32, numpy=-422.9496154785156>, <tf.Tensor: shape=(), dtype=float32, numpy=-5.531084060668945>, <tf.Tensor: shape=(), dtype=float32, numpy=787.4215087890625>]"
2,0.9049354195594788,"[array([  7,  29, 255, 183, 232]), array([ 28,  28, 234, 177, 233]), array([ 15,  21, 127,  12,  34])]",964.0052,False,1,1,0.757075484097004,0.05015227926799538,"[<tf.Tensor: shape=(), dtype=float32, numpy=-4.400363445281982>, <tf.Tensor: shape=(), dtype=float32, numpy=964.0051879882812>, <tf.Tensor: shape=(), dtype=float32, numpy=-436.4255676269531>, <tf.Tensor: shape=(), dtype=float32, numpy=-105.1296157836914>, <tf.Tensor: shape=(), dtype=float32, numpy=-589.7166748046875>, <tf.Tensor: shape=(), dtype=float32, numpy=-322.78033447265625>, <tf.Tensor: shape=(), dtype=float32, numpy=-79.35629272460938>, <tf.Tensor: shape=(), dtype=float32, numpy=-471.9594421386719>, <tf.Tensor: shape=(), dtype=float32, numpy=18.91016960144043>, <tf.Tensor: shape=(), dtype=float32, numpy=790.9055786132812>]"
3,0.9049354195594788,"[array([  7,  29, 255, 183, 232]), array([ 28,  28, 234, 177, 233]), array([ 15,  21, 127,  12,  34])]",964.0052,False,1,1,0.7659944996237755,0.049357697682828994,"[<tf.Tensor: shape=(), dtype=float32, numpy=-4.400363445281982>, <tf.Tensor: shape=(), dtype=float32, numpy=964.0051879882812>, <tf.Tensor: shape=(), dtype=float32, numpy=-436.4255676269531>, <tf.Tensor: shape=(), dtype=float32, numpy=-105.1296157836914>, <tf.Tensor: shape=(), dtype=float32, numpy=-589.7166748046875>, <tf.Tensor: shape=(), dtype=float32, numpy=-322.78033447265625>, <tf.Tensor: shape=(), dtype=float32, numpy=-79.35629272460938>, <tf.Tensor: shape=(), dtype=float32, numpy=-471.9594421386719>, <tf.Tensor: shape=(), dtype=float32, numpy=18.91016960144043>, <tf.Tensor: shape=(), dtype=float32, numpy=790.9055786132812>]"
4,0.9049354195594788,"[array([  7,  29, 255, 183, 232]), array([ 28,  28, 234, 177, 233]), array([ 15,  21, 127,  12,  34])]",964.0052,False,1,1,0.7823518633842468,0.04909381536007295,"[<tf.Tensor: shape=(), dtype=float32, numpy=-4.400363445281982>, <tf.Tensor: shape=(), dtype=float32, numpy=964.0051879882812>, <tf.Tensor: shape=(), dtype=float32, numpy=-436.4255676269531>, <tf.Tensor: shape=(), dtype=float32, numpy=-105.1296157836914>, <tf.Tensor: shape=(), dtype=float32, numpy=-589.7166748046875>, <tf.Tensor: shape=(), dtype=float32, numpy=-322.78033447265625>, <tf.Tensor: shape=(), dtype=float32, numpy=-79.35629272460938>, <tf.Tensor: shape=(), dtype=float32, numpy=-471.9594421386719>, <tf.Tensor: shape=(), dtype=float32, numpy=18.91016960144043>, <tf.Tensor: shape=(), dtype=float32, numpy=790.9055786132812>]"
