model,run,time
distilled,1,28.937317609786987
distilled,2,22.55170750617981
distilled,3,25.0224928855896
distilled,4,22.093454122543335
distilled,5,24.280184745788574
distilled,1,21.832305908203125
distilled,2,17.464354515075684
distilled,3,16.599825859069824
distilled,4,16.896422386169434
distilled,5,17.360016584396362
