gen,best fitness,best individual,best confidence,best success,true label,predicted label,average fitness,std fitness,prediction
0,0.8603088855743408,"[array([ 25,  18, 215,  82,  59]), array([ 14,   5, 123,  81,  52]), array([ 13,  29, 193, 150, 129])]",924.8006,False,4,4,0.7466638669371605,0.04209953717445949,"[<tf.Tensor: shape=(), dtype=float32, numpy=-210.46139526367188>, <tf.Tensor: shape=(), dtype=float32, numpy=-629.2991333007812>, <tf.Tensor: shape=(), dtype=float32, numpy=798.0490112304688>, <tf.Tensor: shape=(), dtype=float32, numpy=259.5811462402344>, <tf.Tensor: shape=(), dtype=float32, numpy=924.8005981445312>, <tf.Tensor: shape=(), dtype=float32, numpy=121.88961029052734>, <tf.Tensor: shape=(), dtype=float32, numpy=360.14208984375>, <tf.Tensor: shape=(), dtype=float32, numpy=266.40863037109375>, <tf.Tensor: shape=(), dtype=float32, numpy=-1226.9610595703125>, <tf.Tensor: shape=(), dtype=float32, numpy=-749.1430053710938>]"
1,0.8888469934463501,"[array([26,  8, 51, 84, 59]), array([ 14,   5, 125,  82,  53]), array([ 13,  29, 193, 150, 129])]",967.3897,False,4,4,0.7675188794732094,0.04160793984355976,"[<tf.Tensor: shape=(), dtype=float32, numpy=-240.24928283691406>, <tf.Tensor: shape=(), dtype=float32, numpy=-641.9959106445312>, <tf.Tensor: shape=(), dtype=float32, numpy=799.2767944335938>, <tf.Tensor: shape=(), dtype=float32, numpy=277.63818359375>, <tf.Tensor: shape=(), dtype=float32, numpy=967.3897094726562>, <tf.Tensor: shape=(), dtype=float32, numpy=136.8357696533203>, <tf.Tensor: shape=(), dtype=float32, numpy=343.24249267578125>, <tf.Tensor: shape=(), dtype=float32, numpy=295.95306396484375>, <tf.Tensor: shape=(), dtype=float32, numpy=-1259.435791015625>, <tf.Tensor: shape=(), dtype=float32, numpy=-756.7068481445312>]"
2,0.8982387185096741,"[array([24,  8, 51, 89, 64]), array([ 15,   5, 125,  82,  56]), array([ 13,  29, 193, 150, 129])]",948.2813,False,4,4,0.7865867063403129,0.04510878419366473,"[<tf.Tensor: shape=(), dtype=float32, numpy=-205.02162170410156>, <tf.Tensor: shape=(), dtype=float32, numpy=-638.564208984375>, <tf.Tensor: shape=(), dtype=float32, numpy=798.5789794921875>, <tf.Tensor: shape=(), dtype=float32, numpy=261.4044189453125>, <tf.Tensor: shape=(), dtype=float32, numpy=948.2813110351562>, <tf.Tensor: shape=(), dtype=float32, numpy=133.33193969726562>, <tf.Tensor: shape=(), dtype=float32, numpy=337.90191650390625>, <tf.Tensor: shape=(), dtype=float32, numpy=292.3258361816406>, <tf.Tensor: shape=(), dtype=float32, numpy=-1252.770751953125>, <tf.Tensor: shape=(), dtype=float32, numpy=-752.5137329101562>]"
3,0.9031804203987122,"[array([24,  8, 51, 89, 56]), array([ 15,   5, 123,  82,  55]), array([ 13,  29, 190, 150, 129])]",944.366,False,4,4,0.8190951392054557,0.04118162203551983,"[<tf.Tensor: shape=(), dtype=float32, numpy=-203.4308319091797>, <tf.Tensor: shape=(), dtype=float32, numpy=-639.4213256835938>, <tf.Tensor: shape=(), dtype=float32, numpy=798.0742797851562>, <tf.Tensor: shape=(), dtype=float32, numpy=260.7305908203125>, <tf.Tensor: shape=(), dtype=float32, numpy=944.3660278320312>, <tf.Tensor: shape=(), dtype=float32, numpy=134.48977661132812>, <tf.Tensor: shape=(), dtype=float32, numpy=338.0942687988281>, <tf.Tensor: shape=(), dtype=float32, numpy=292.5003356933594>, <tf.Tensor: shape=(), dtype=float32, numpy=-1251.3193359375>, <tf.Tensor: shape=(), dtype=float32, numpy=-751.264404296875>]"
4,0.9031804203987122,"[array([24,  8, 51, 89, 56]), array([ 15,   5, 123,  82,  55]), array([ 13,  29, 190, 150, 129])]",944.366,False,4,4,0.8306565240025521,0.04040231381756474,"[<tf.Tensor: shape=(), dtype=float32, numpy=-203.4308319091797>, <tf.Tensor: shape=(), dtype=float32, numpy=-639.4213256835938>, <tf.Tensor: shape=(), dtype=float32, numpy=798.0742797851562>, <tf.Tensor: shape=(), dtype=float32, numpy=260.7305908203125>, <tf.Tensor: shape=(), dtype=float32, numpy=944.3660278320312>, <tf.Tensor: shape=(), dtype=float32, numpy=134.48977661132812>, <tf.Tensor: shape=(), dtype=float32, numpy=338.0942687988281>, <tf.Tensor: shape=(), dtype=float32, numpy=292.5003356933594>, <tf.Tensor: shape=(), dtype=float32, numpy=-1251.3193359375>, <tf.Tensor: shape=(), dtype=float32, numpy=-751.264404296875>]"
