gen,genotype,true label,predicted label, confidence in wrong label
1,"[array([ 23,  21, 221, 253, 165]), array([ 26,  15, 255, 103, 236]), array([ 17,   3, 181, 222, 161])]",1,9,1063.1616
2,"[array([ 26,  23, 251, 237, 172]), array([ 24,  22, 175,  63, 245]), array([  3,  20, 254, 219,  19])]",1,9,1020.4621
2,"[array([ 23,  21, 221, 253, 165]), array([ 26,  15, 255, 103, 236]), array([ 17,   3, 181, 223, 192])]",1,9,1061.8923
2,"[array([ 23,  21, 221, 253, 167]), array([ 26,  15, 255, 103, 236]), array([ 17,   3, 181, 227, 161])]",1,9,1064.0884
3,"[array([ 23,  21, 221, 253, 165]), array([ 26,  15, 255, 103, 236]), array([ 22,   3, 181, 224, 192])]",1,9,1081.2217
3,"[array([ 23,  21, 221, 253, 166]), array([ 26,  15, 255, 101, 236]), array([ 17,   0, 181, 223, 192])]",1,9,1072.5061
3,"[array([ 23,  21, 218, 253, 164]), array([ 26,  15, 252,  99, 236]), array([ 17,  12,  64, 101,  19])]",1,9,1058.3789
4,"[array([ 23,  23, 220, 253, 164]), array([ 26,  15, 252, 153, 208]), array([  9,  16, 177, 222, 161])]",1,9,849.00244
4,"[array([ 23,  21, 221, 247, 165]), array([ 26,  15, 255, 101, 236]), array([ 17,   0, 181, 223, 192])]",1,9,1069.0688
4,"[array([ 23,  21, 221, 253, 166]), array([ 26,  15, 254,  97, 236]), array([ 17,   3, 181, 218, 161])]",1,9,1062.6841
4,"[array([ 23,  21, 221, 254, 166]), array([ 26,  15, 152,   6,  71]), array([  1,   8, 168, 172, 187])]",1,9,984.67926
