gen,best fitness,best individual,best confidence,best success,true label,predicted label,average fitness,std fitness,prediction
0,0.8328714370727539,"[array([ 16,   4, 131,  79, 194]), array([ 18,   9, 240,  33,  43]), array([ 16,  27,  20,  33, 115])]",952.9367,False,1,1,0.7369939103722573,0.05396907089818732,"[<tf.Tensor: shape=(), dtype=float32, numpy=-1.706414818763733>, <tf.Tensor: shape=(), dtype=float32, numpy=952.9367065429688>, <tf.Tensor: shape=(), dtype=float32, numpy=-425.5169372558594>, <tf.Tensor: shape=(), dtype=float32, numpy=-110.66400146484375>, <tf.Tensor: shape=(), dtype=float32, numpy=-581.2559814453125>, <tf.Tensor: shape=(), dtype=float32, numpy=-321.4549560546875>, <tf.Tensor: shape=(), dtype=float32, numpy=-72.0924072265625>, <tf.Tensor: shape=(), dtype=float32, numpy=-469.010498046875>, <tf.Tensor: shape=(), dtype=float32, numpy=15.778860092163086>, <tf.Tensor: shape=(), dtype=float32, numpy=780.1048583984375>]"
1,1.6456730365753174,"[array([ 23,  21, 221, 253, 165]), array([ 26,  15, 255, 103, 236]), array([ 17,   3, 181, 222, 161])]",1063.1616,True,1,9,0.7830773293972015,0.14548225075067717,"[<tf.Tensor: shape=(), dtype=float32, numpy=167.22573852539062>, <tf.Tensor: shape=(), dtype=float32, numpy=988.9005737304688>, <tf.Tensor: shape=(), dtype=float32, numpy=-520.7485961914062>, <tf.Tensor: shape=(), dtype=float32, numpy=-180.50877380371094>, <tf.Tensor: shape=(), dtype=float32, numpy=-585.0606079101562>, <tf.Tensor: shape=(), dtype=float32, numpy=-471.59375>, <tf.Tensor: shape=(), dtype=float32, numpy=-59.974308013916016>, <tf.Tensor: shape=(), dtype=float32, numpy=-459.694091796875>, <tf.Tensor: shape=(), dtype=float32, numpy=-242.04669189453125>, <tf.Tensor: shape=(), dtype=float32, numpy=1063.16162109375>]"
2,1.6456730365753174,"[array([ 23,  21, 221, 253, 165]), array([ 26,  15, 255, 103, 236]), array([ 17,   3, 181, 222, 161])]",1063.1616,True,1,9,0.8624427646398545,0.26358288689601533,"[<tf.Tensor: shape=(), dtype=float32, numpy=167.22573852539062>, <tf.Tensor: shape=(), dtype=float32, numpy=988.9005737304688>, <tf.Tensor: shape=(), dtype=float32, numpy=-520.7485961914062>, <tf.Tensor: shape=(), dtype=float32, numpy=-180.50877380371094>, <tf.Tensor: shape=(), dtype=float32, numpy=-585.0606079101562>, <tf.Tensor: shape=(), dtype=float32, numpy=-471.59375>, <tf.Tensor: shape=(), dtype=float32, numpy=-59.974308013916016>, <tf.Tensor: shape=(), dtype=float32, numpy=-459.694091796875>, <tf.Tensor: shape=(), dtype=float32, numpy=-242.04669189453125>, <tf.Tensor: shape=(), dtype=float32, numpy=1063.16162109375>]"
3,1.6565630435943604,"[array([ 23,  21, 218, 253, 164]), array([ 26,  15, 252,  99, 236]), array([ 17,  12,  64, 101,  19])]",1058.3789,True,1,9,0.8578389242291451,0.2677140964575634,"[<tf.Tensor: shape=(), dtype=float32, numpy=162.2333221435547>, <tf.Tensor: shape=(), dtype=float32, numpy=964.062255859375>, <tf.Tensor: shape=(), dtype=float32, numpy=-520.938232421875>, <tf.Tensor: shape=(), dtype=float32, numpy=-162.1901397705078>, <tf.Tensor: shape=(), dtype=float32, numpy=-587.5989379882812>, <tf.Tensor: shape=(), dtype=float32, numpy=-451.8114013671875>, <tf.Tensor: shape=(), dtype=float32, numpy=-44.536441802978516>, <tf.Tensor: shape=(), dtype=float32, numpy=-470.56256103515625>, <tf.Tensor: shape=(), dtype=float32, numpy=-241.2663116455078>, <tf.Tensor: shape=(), dtype=float32, numpy=1058.37890625>]"
4,1.6863042116165161,"[array([ 23,  21, 221, 254, 166]), array([ 26,  15, 152,   6,  71]), array([  1,   8, 168, 172, 187])]",984.67926,True,1,9,0.8896754518151283,0.29300567305363434,"[<tf.Tensor: shape=(), dtype=float32, numpy=101.52684020996094>, <tf.Tensor: shape=(), dtype=float32, numpy=974.5790405273438>, <tf.Tensor: shape=(), dtype=float32, numpy=-497.05645751953125>, <tf.Tensor: shape=(), dtype=float32, numpy=-120.90740203857422>, <tf.Tensor: shape=(), dtype=float32, numpy=-634.8760375976562>, <tf.Tensor: shape=(), dtype=float32, numpy=-391.8470153808594>, <tf.Tensor: shape=(), dtype=float32, numpy=-39.35886001586914>, <tf.Tensor: shape=(), dtype=float32, numpy=-516.2835693359375>, <tf.Tensor: shape=(), dtype=float32, numpy=-141.89662170410156>, <tf.Tensor: shape=(), dtype=float32, numpy=984.6792602539062>]"
