gen,best fitness,best individual,best confidence,best success,true label,predicted label,average fitness,std fitness,prediction
0,0.8634997606277466,"[array([ 18,   3, 192,  91,  12]), array([10, 26, 62, 13, 58]), array([ 21,  15, 145, 153,  45])]",731.0413,False,3,3,0.783139719069004,0.04709292921170455,"[<tf.Tensor: shape=(), dtype=float32, numpy=-690.1849975585938>, <tf.Tensor: shape=(), dtype=float32, numpy=-319.8372497558594>, <tf.Tensor: shape=(), dtype=float32, numpy=208.21450805664062>, <tf.Tensor: shape=(), dtype=float32, numpy=731.0413208007812>, <tf.Tensor: shape=(), dtype=float32, numpy=-91.0373306274414>, <tf.Tensor: shape=(), dtype=float32, numpy=399.2679138183594>, <tf.Tensor: shape=(), dtype=float32, numpy=657.5392456054688>, <tf.Tensor: shape=(), dtype=float32, numpy=-243.51719665527344>, <tf.Tensor: shape=(), dtype=float32, numpy=-625.5823364257812>, <tf.Tensor: shape=(), dtype=float32, numpy=-223.92137145996094>]"
1,0.883025050163269,"[array([ 18,   2, 193,  91,  12]), array([10, 26, 62, 17, 67]), array([ 24,  14, 147, 174, 119])]",739.7277,False,3,3,0.7855809107422829,0.04066757589332306,"[<tf.Tensor: shape=(), dtype=float32, numpy=-662.5809326171875>, <tf.Tensor: shape=(), dtype=float32, numpy=-365.13909912109375>, <tf.Tensor: shape=(), dtype=float32, numpy=225.17889404296875>, <tf.Tensor: shape=(), dtype=float32, numpy=739.7277221679688>, <tf.Tensor: shape=(), dtype=float32, numpy=-41.05284118652344>, <tf.Tensor: shape=(), dtype=float32, numpy=426.206298828125>, <tf.Tensor: shape=(), dtype=float32, numpy=599.3744506835938>, <tf.Tensor: shape=(), dtype=float32, numpy=-182.10311889648438>, <tf.Tensor: shape=(), dtype=float32, numpy=-688.0713500976562>, <tf.Tensor: shape=(), dtype=float32, numpy=-238.2285919189453>]"
2,1.8080534934997559,"[array([ 11,  20, 197, 132, 190]), array([ 20,  12,  13,  67, 158]), array([ 11,   8, 137, 121, 173])]",742.53815,True,3,6,0.8500422760844231,0.21476636472607477,"[<tf.Tensor: shape=(), dtype=float32, numpy=-727.7070922851562>, <tf.Tensor: shape=(), dtype=float32, numpy=-261.41986083984375>, <tf.Tensor: shape=(), dtype=float32, numpy=123.43008422851562>, <tf.Tensor: shape=(), dtype=float32, numpy=726.1737670898438>, <tf.Tensor: shape=(), dtype=float32, numpy=-143.3406524658203>, <tf.Tensor: shape=(), dtype=float32, numpy=406.8084411621094>, <tf.Tensor: shape=(), dtype=float32, numpy=742.5381469726562>, <tf.Tensor: shape=(), dtype=float32, numpy=-293.3633728027344>, <tf.Tensor: shape=(), dtype=float32, numpy=-607.4818725585938>, <tf.Tensor: shape=(), dtype=float32, numpy=-187.19284057617188>]"
3,1.8080534934997559,"[array([ 11,  20, 197, 132, 190]), array([ 20,  12,  13,  67, 158]), array([ 11,   8, 137, 121, 173])]",742.53815,True,3,6,0.9658379763364792,0.3423066967805812,"[<tf.Tensor: shape=(), dtype=float32, numpy=-727.7070922851562>, <tf.Tensor: shape=(), dtype=float32, numpy=-261.41986083984375>, <tf.Tensor: shape=(), dtype=float32, numpy=123.43008422851562>, <tf.Tensor: shape=(), dtype=float32, numpy=726.1737670898438>, <tf.Tensor: shape=(), dtype=float32, numpy=-143.3406524658203>, <tf.Tensor: shape=(), dtype=float32, numpy=406.8084411621094>, <tf.Tensor: shape=(), dtype=float32, numpy=742.5381469726562>, <tf.Tensor: shape=(), dtype=float32, numpy=-293.3633728027344>, <tf.Tensor: shape=(), dtype=float32, numpy=-607.4818725585938>, <tf.Tensor: shape=(), dtype=float32, numpy=-187.19284057617188>]"
4,1.818620204925537,"[array([ 16,   7, 168,  91,   9]), array([13, 25, 56, 13, 59]), array([ 19,  15, 140,  62, 173])]",798.7381,True,3,6,0.9872573003172874,0.36612476085468687,"[<tf.Tensor: shape=(), dtype=float32, numpy=-703.433837890625>, <tf.Tensor: shape=(), dtype=float32, numpy=-387.64300537109375>, <tf.Tensor: shape=(), dtype=float32, numpy=227.1241455078125>, <tf.Tensor: shape=(), dtype=float32, numpy=760.9048461914062>, <tf.Tensor: shape=(), dtype=float32, numpy=-55.38959503173828>, <tf.Tensor: shape=(), dtype=float32, numpy=383.3055419921875>, <tf.Tensor: shape=(), dtype=float32, numpy=798.7380981445312>, <tf.Tensor: shape=(), dtype=float32, numpy=-282.2581481933594>, <tf.Tensor: shape=(), dtype=float32, numpy=-690.8511962890625>, <tf.Tensor: shape=(), dtype=float32, numpy=-253.2303924560547>]"
