gen,best fitness,best individual,best confidence,best success,true label,predicted label,average fitness,std fitness,prediction
0,0.8719805479049683,"[array([ 16,  17, 184, 141,  88]), array([ 26,   3, 134, 109,  13]), array([ 26,  20, 133, 139,  99])]",986.3326,False,4,4,0.7565815597772598,0.048633607962767104,"[<tf.Tensor: shape=(), dtype=float32, numpy=-249.7640380859375>, <tf.Tensor: shape=(), dtype=float32, numpy=-666.2444458007812>, <tf.Tensor: shape=(), dtype=float32, numpy=772.7457275390625>, <tf.Tensor: shape=(), dtype=float32, numpy=309.91064453125>, <tf.Tensor: shape=(), dtype=float32, numpy=986.3325805664062>, <tf.Tensor: shape=(), dtype=float32, numpy=163.6949462890625>, <tf.Tensor: shape=(), dtype=float32, numpy=326.1319274902344>, <tf.Tensor: shape=(), dtype=float32, numpy=316.8812561035156>, <tf.Tensor: shape=(), dtype=float32, numpy=-1257.793212890625>, <tf.Tensor: shape=(), dtype=float32, numpy=-773.3908081054688>]"
1,0.8719805479049683,"[array([ 16,  17, 184, 141,  88]), array([ 26,   3, 134, 109,  13]), array([ 26,  20, 133, 139,  99])]",986.3326,False,4,4,0.774855974316597,0.04267552163591062,"[<tf.Tensor: shape=(), dtype=float32, numpy=-249.7640380859375>, <tf.Tensor: shape=(), dtype=float32, numpy=-666.2444458007812>, <tf.Tensor: shape=(), dtype=float32, numpy=772.7457275390625>, <tf.Tensor: shape=(), dtype=float32, numpy=309.91064453125>, <tf.Tensor: shape=(), dtype=float32, numpy=986.3325805664062>, <tf.Tensor: shape=(), dtype=float32, numpy=163.6949462890625>, <tf.Tensor: shape=(), dtype=float32, numpy=326.1319274902344>, <tf.Tensor: shape=(), dtype=float32, numpy=316.8812561035156>, <tf.Tensor: shape=(), dtype=float32, numpy=-1257.793212890625>, <tf.Tensor: shape=(), dtype=float32, numpy=-773.3908081054688>]"
2,0.9290106296539307,"[array([30,  5, 41, 90, 20]), array([ 17,   3, 134, 109,  13]), array([ 26,  20, 133, 143, 100])]",1011.12573,False,4,4,0.803080341219902,0.037253933434627046,"[<tf.Tensor: shape=(), dtype=float32, numpy=-221.94241333007812>, <tf.Tensor: shape=(), dtype=float32, numpy=-633.33251953125>, <tf.Tensor: shape=(), dtype=float32, numpy=816.6495361328125>, <tf.Tensor: shape=(), dtype=float32, numpy=264.9869384765625>, <tf.Tensor: shape=(), dtype=float32, numpy=1011.125732421875>, <tf.Tensor: shape=(), dtype=float32, numpy=113.87372589111328>, <tf.Tensor: shape=(), dtype=float32, numpy=335.7616271972656>, <tf.Tensor: shape=(), dtype=float32, numpy=301.23016357421875>, <tf.Tensor: shape=(), dtype=float32, numpy=-1295.1580810546875>, <tf.Tensor: shape=(), dtype=float32, numpy=-769.3897094726562>]"
3,0.9290106296539307,"[array([30,  5, 41, 90, 20]), array([ 17,   3, 134, 109,  13]), array([ 26,  20, 133, 143, 100])]",1011.12573,False,4,4,0.8173776671290398,0.0347787549948067,"[<tf.Tensor: shape=(), dtype=float32, numpy=-221.94241333007812>, <tf.Tensor: shape=(), dtype=float32, numpy=-633.33251953125>, <tf.Tensor: shape=(), dtype=float32, numpy=816.6495361328125>, <tf.Tensor: shape=(), dtype=float32, numpy=264.9869384765625>, <tf.Tensor: shape=(), dtype=float32, numpy=1011.125732421875>, <tf.Tensor: shape=(), dtype=float32, numpy=113.87372589111328>, <tf.Tensor: shape=(), dtype=float32, numpy=335.7616271972656>, <tf.Tensor: shape=(), dtype=float32, numpy=301.23016357421875>, <tf.Tensor: shape=(), dtype=float32, numpy=-1295.1580810546875>, <tf.Tensor: shape=(), dtype=float32, numpy=-769.3897094726562>]"
4,0.9290106296539307,"[array([30,  5, 41, 90, 20]), array([ 17,   3, 134, 109,  13]), array([ 26,  20, 133, 143, 100])]",1011.12573,False,4,4,0.8377608060836792,0.02925044356035109,"[<tf.Tensor: shape=(), dtype=float32, numpy=-221.94241333007812>, <tf.Tensor: shape=(), dtype=float32, numpy=-633.33251953125>, <tf.Tensor: shape=(), dtype=float32, numpy=816.6495361328125>, <tf.Tensor: shape=(), dtype=float32, numpy=264.9869384765625>, <tf.Tensor: shape=(), dtype=float32, numpy=1011.125732421875>, <tf.Tensor: shape=(), dtype=float32, numpy=113.87372589111328>, <tf.Tensor: shape=(), dtype=float32, numpy=335.7616271972656>, <tf.Tensor: shape=(), dtype=float32, numpy=301.23016357421875>, <tf.Tensor: shape=(), dtype=float32, numpy=-1295.1580810546875>, <tf.Tensor: shape=(), dtype=float32, numpy=-769.3897094726562>]"
