gen,best fitness,best individual,best confidence,best success,true label,predicted label,average fitness,std fitness,prediction
0,0.836080014705658,"[array([ 22,  19, 105, 239,  14]), array([ 15,  23,  37, 204,  23]), array([ 14,  29, 117, 120,  35])]",1077.5282,False,2,2,0.7477062299847603,0.043101896776473775,"[<tf.Tensor: shape=(), dtype=float32, numpy=335.49615478515625>, <tf.Tensor: shape=(), dtype=float32, numpy=107.94013977050781>, <tf.Tensor: shape=(), dtype=float32, numpy=1077.5281982421875>, <tf.Tensor: shape=(), dtype=float32, numpy=-70.17357635498047>, <tf.Tensor: shape=(), dtype=float32, numpy=-454.26416015625>, <tf.Tensor: shape=(), dtype=float32, numpy=-385.154541015625>, <tf.Tensor: shape=(), dtype=float32, numpy=137.22552490234375>, <tf.Tensor: shape=(), dtype=float32, numpy=-173.67457580566406>, <tf.Tensor: shape=(), dtype=float32, numpy=-481.8777770996094>, <tf.Tensor: shape=(), dtype=float32, numpy=-195.5809783935547>]"
1,0.836080014705658,"[array([ 22,  19, 105, 239,  14]), array([ 15,  23,  37, 204,  23]), array([ 14,  29, 117, 120,  35])]",1077.5282,False,2,2,0.7642111510038376,0.03102808646699738,"[<tf.Tensor: shape=(), dtype=float32, numpy=335.49615478515625>, <tf.Tensor: shape=(), dtype=float32, numpy=107.94013977050781>, <tf.Tensor: shape=(), dtype=float32, numpy=1077.5281982421875>, <tf.Tensor: shape=(), dtype=float32, numpy=-70.17357635498047>, <tf.Tensor: shape=(), dtype=float32, numpy=-454.26416015625>, <tf.Tensor: shape=(), dtype=float32, numpy=-385.154541015625>, <tf.Tensor: shape=(), dtype=float32, numpy=137.22552490234375>, <tf.Tensor: shape=(), dtype=float32, numpy=-173.67457580566406>, <tf.Tensor: shape=(), dtype=float32, numpy=-481.8777770996094>, <tf.Tensor: shape=(), dtype=float32, numpy=-195.5809783935547>]"
2,0.8897831439971924,"[array([ 5,  6, 62, 65, 14]), array([ 16,  23,  37, 204,  23]), array([ 14,  24, 117, 120,  35])]",1065.9132,False,2,2,0.7800792053341865,0.03738609951597316,"[<tf.Tensor: shape=(), dtype=float32, numpy=326.4120178222656>, <tf.Tensor: shape=(), dtype=float32, numpy=106.68331909179688>, <tf.Tensor: shape=(), dtype=float32, numpy=1065.9132080078125>, <tf.Tensor: shape=(), dtype=float32, numpy=-61.35255813598633>, <tf.Tensor: shape=(), dtype=float32, numpy=-468.681396484375>, <tf.Tensor: shape=(), dtype=float32, numpy=-380.1856384277344>, <tf.Tensor: shape=(), dtype=float32, numpy=132.90478515625>, <tf.Tensor: shape=(), dtype=float32, numpy=-168.6801300048828>, <tf.Tensor: shape=(), dtype=float32, numpy=-459.8097229003906>, <tf.Tensor: shape=(), dtype=float32, numpy=-190.00918579101562>]"
3,0.8897831439971924,"[array([ 5,  6, 62, 65, 14]), array([ 16,  23,  37, 204,  23]), array([ 14,  24, 117, 120,  35])]",1065.9132,False,2,2,0.8020411103963851,0.04066163439408727,"[<tf.Tensor: shape=(), dtype=float32, numpy=326.4120178222656>, <tf.Tensor: shape=(), dtype=float32, numpy=106.68331909179688>, <tf.Tensor: shape=(), dtype=float32, numpy=1065.9132080078125>, <tf.Tensor: shape=(), dtype=float32, numpy=-61.35255813598633>, <tf.Tensor: shape=(), dtype=float32, numpy=-468.681396484375>, <tf.Tensor: shape=(), dtype=float32, numpy=-380.1856384277344>, <tf.Tensor: shape=(), dtype=float32, numpy=132.90478515625>, <tf.Tensor: shape=(), dtype=float32, numpy=-168.6801300048828>, <tf.Tensor: shape=(), dtype=float32, numpy=-459.8097229003906>, <tf.Tensor: shape=(), dtype=float32, numpy=-190.00918579101562>]"
4,0.8897831439971924,"[array([ 5,  6, 62, 65, 14]), array([ 16,  23,  37, 204,  23]), array([ 14,  24, 117, 120,  35])]",1065.9132,False,2,2,0.8193671479821205,0.03210376485719105,"[<tf.Tensor: shape=(), dtype=float32, numpy=326.4120178222656>, <tf.Tensor: shape=(), dtype=float32, numpy=106.68331909179688>, <tf.Tensor: shape=(), dtype=float32, numpy=1065.9132080078125>, <tf.Tensor: shape=(), dtype=float32, numpy=-61.35255813598633>, <tf.Tensor: shape=(), dtype=float32, numpy=-468.681396484375>, <tf.Tensor: shape=(), dtype=float32, numpy=-380.1856384277344>, <tf.Tensor: shape=(), dtype=float32, numpy=132.90478515625>, <tf.Tensor: shape=(), dtype=float32, numpy=-168.6801300048828>, <tf.Tensor: shape=(), dtype=float32, numpy=-459.8097229003906>, <tf.Tensor: shape=(), dtype=float32, numpy=-190.00918579101562>]"
